#,EPI,EPI1,EPI2,EPI3,EPI4,EPI5,EPI6,EPI7,EPI8,EPI9,EPI10,EPI11,ERE,HAQ,PMD,PMX,NXA,USD,UWD,WWT,SNM,NBA,TCL,FSS,TBN,TBG,MPA,SPI,BHV,TCI,TCE
"0,712731946351352",7,7,7,9,9,7,7,8,8,7,7,8,6,10,10,7,9,10,9,9,5,0,,3,10,10,8,6,6,5,7
"0,727042433676422",7,6,6,7,7,6,6,7,7,6,6,6,6,10,10,9,9,7,4,7,10,0,,,5,5,,5,5,10,8
"0,737092541086877",9,9,8,8,8,8,9,8,8,8,8,8,10,10,10,10,6,8,9,8,9,2,2,3,9,9,9,9,10,9,10
"0,739999572955271",9,9,8,9,9,8,9,9,9,8,8,9,10,10,10,10,6,10,10,9,8,1,7,9,9,9,7,8,9,7,6
"0,753604476094897",5,4,5,0,1,6,5,2,3,5,5,4,3,1,10,10,9,2,4,0,10,10,5,6,10,10,0,9,7,2,10
"0,769677571451793",7,7,7,8,8,6,7,7,7,7,7,7,6,10,9,7,7,10,9,8,7,10,,,4,4,,5,5,9,9
"0,775667061199322",8,8,8,7,7,8,8,7,8,8,8,7,7,10,10,10,8,9,8,7,5,0,8,1,10,10,9,10,9,7,8
"0,783665596565067",9,8,8,9,9,7,8,9,9,8,8,8,9,10,8,6,4,10,10,10,10,10,5,,10,10,,10,8,8,8
"0,78406095076522",7,6,6,1,1,7,6,4,4,7,7,5,8,9,10,10,10,7,8,0,7,0,10,7,8,8,9,8,8,,10
"0,791425401333319",5,5,5,0,0,6,5,2,2,5,5,3,5,5,1,1,9,6,7,0,9,10,9,,8,7,,8,8,4,10
"0,797267322636332",8,7,7,6,6,7,7,7,7,7,7,7,9,8,8,7,7,8,10,6,9,10,6,,7,8,,6,8,8,7
"0,798568133528075",8,8,8,6,6,8,8,7,7,8,8,7,9,8,10,9,8,9,10,6,9,10,8,3,8,9,0,8,9,6,10
"0,818381108186744",5,5,5,0,1,6,5,2,3,5,5,3,4,1,10,7,9,7,5,0,10,10,6,,7,7,,7,8,,10
"0,822777997475702",7,7,7,1,1,8,7,4,4,8,7,5,7,9,10,9,10,6,8,0,8,10,9,5,9,9,8,9,9,7,10
"0,822898351497882",7,7,7,8,8,7,7,8,8,7,7,8,8,8,10,9,7,7,7,8,7,10,8,5,9,9,7,8,8,4,3
"0,823878229732226",8,9,8,9,9,8,9,9,9,8,8,9,8,10,8,7,3,10,10,9,8,10,8,3,10,10,10,10,10,7,9
"0,831678792664396",9,9,9,9,9,8,9,9,9,8,8,9,10,10,10,10,8,10,10,9,9,0,4,3,9,9,10,9,9,8,9
"0,840989025881201",9,8,8,9,8,7,8,8,8,8,8,8,8,10,7,5,5,10,10,9,9,10,5,,10,10,,10,10,10,7
"0,84405386009602",4,4,4,0,1,5,4,2,2,4,4,3,1,1,10,10,9,4,6,0,10,10,,,7,8,,7,8,,10
"0,861128983043397",7,7,7,9,9,7,7,8,8,7,7,8,5,10,9,6,6,9,10,9,4,0,,6,10,10,10,7,8,3,10
"0,865163046892869",4,4,4,0,1,5,4,2,2,5,5,3,2,1,9,7,9,6,5,0,10,10,7,,6,7,,6,7,,10
"0,890483298639565",6,5,6,5,6,7,6,5,6,6,6,6,3,1,10,10,9,3,2,5,10,10,4,6,10,10,9,9,9,4,10
"0,907997062840416",7,8,7,8,8,7,8,8,8,7,7,7,9,10,8,6,7,9,9,8,6,0,0,5,10,10,8,9,9,7,6
"0,912859000185395",5,5,5,5,5,5,5,5,5,5,5,5,5,6,0,0,8,5,8,5,6,2,7,3,6,6,7,6,6,6,5
"0,922697302848613",8,7,7,6,6,7,7,7,7,7,7,7,8,8,10,10,10,8,9,6,6,10,8,6,4,5,8,6,6,,10
"0,924357153600344",7,7,7,6,6,6,7,7,7,7,7,7,10,10,10,10,10,9,10,6,4,0,,3,6,6,3,6,6,6,10
"0,926431821543387",8,8,8,8,8,7,8,8,8,7,7,8,7,10,10,10,9,9,9,8,8,10,,6,5,6,8,6,6,8,6
"0,938353780882493",7,8,7,5,5,7,7,6,6,7,7,7,10,10,10,9,8,9,10,5,9,10,0,5,5,5,7,5,5,5,10
"0,941031225960667",8,8,8,7,7,7,8,7,7,8,8,7,8,9,10,10,9,8,7,7,4,0,7,3,9,9,10,8,8,8,7
"0,941936593783313",7,6,6,5,5,7,6,6,6,7,7,6,7,8,10,9,9,6,7,5,9,10,5,,10,10,,8,8,2,10
"0,954095371502952",7,7,8,5,6,8,8,6,6,8,8,7,6,7,10,10,9,7,8,5,9,10,6,5,9,9,9,8,8,9,6
"0,968672768304827",7,7,7,5,5,7,7,6,6,7,7,6,7,8,9,7,9,9,5,5,9,10,,,8,8,,7,7,10,10
"0,974224601878344",6,6,6,0,1,6,6,3,4,6,6,4,9,10,10,10,10,10,9,0,,,,4,9,8,5,9,9,,10
"0,975579386758101",8,8,8,10,10,7,8,9,9,8,8,9,8,10,8,6,1,10,10,10,9,1,6,3,10,10,10,10,10,8,7
"0,980801972257853",6,5,5,3,3,6,5,4,4,6,5,5,4,1,10,9,9,4,6,3,10,10,5,,10,9,,9,9,,10
"0,982849071561759",6,6,6,2,3,7,6,4,4,6,6,5,4,5,10,9,9,5,4,2,10,10,6,5,8,8,4,9,9,10,3
"0,984540019156006",5,4,5,1,1,6,5,3,3,5,5,4,4,7,10,10,9,6,3,0,9,10,,9,3,2,9,4,3,,10
"0,987825818033503",7,7,7,4,4,7,7,5,5,7,7,6,7,7,10,10,9,8,9,4,10,10,0,,9,9,,7,7,6,10
"0,989052850974497",8,7,7,6,6,7,7,7,7,7,7,7,8,8,8,6,6,9,10,6,9,10,9,,6,6,,6,6,9,6
"0,991167798636393",5,4,4,0,1,5,4,2,3,5,5,3,5,3,10,10,10,5,6,0,,,7,5,4,4,6,3,3,,10
"0,994540968378118",5,5,5,1,1,6,5,3,3,5,5,4,3,5,10,10,10,5,7,0,10,10,,1,7,7,5,7,7,,10
"0,998424328965556",8,8,8,7,7,8,8,8,8,8,8,8,9,10,9,8,6,9,9,7,10,10,5,5,6,6,9,6,6,9,8
